// machine translate -- gemini-2.5-flash
name,
stopbgm,,,,,,,,,,,
fadeinblack,0,,,,,,,,,,
endwait,,,,,,,,,,,
fadeoutblack,1.5,,,,,,,,,,
endwait,,,,,,,,,,,
playbgm,/download/sound/bgm/bgm106.mp3,0,
endwait,,,,,,,,,,,
sprite,download/character/6013/image/601311.png,card1,0,0,1,0.5,,,,
endwait,,,,,,,,,,,


name,<outline width=2 color=black>Martha Tarasque</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Đập、 đập。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Rosette Savigny</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Đập――đập ạ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Martha Tarasque</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Tốt lắm…… Sắp có mochi ăn rồi nhỉ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Rosette Savigny</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Em sẽ dồn hết sức mình để giã đến cùng ạ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Rosette</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Đập、 đập。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,
msg,0,
spriteoff,card1,0.5
endwait,,,,,,,,,,,
sprite,download/character/103713/image/adv_1.jpg,card2,0,0,2,0,,,,
anm,fade,card2,0,0,0
anm,scale,card2,1_1,1,0
anm,fade,card2,255,1,0
endwait,,,,,,,,,,,


name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Fufu、 fufufu…… Frau đáng yêu quá đi mất、 Frau ơi。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Frau</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Ưm…… Norn、 ôm chặt quá rồi……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Ối、 xin lỗi、 xin lỗi。Tại Frau đáng yêu quá nên chị lỡ mất bình tĩnh rồi。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Frau</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>……Chuyện đó、 hình như lúc nào cũng vậy mà。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Điều đó chỉ có nghĩa là Frau đáng yêu đến thế nào thôi mà。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Frau</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Thật là……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Frau dù đang hờn dỗi mà vẫn chịu ngồi lên đùi chị、 đúng là thiên thần quá mức chịu đựng mà。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Frau</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Norn ép em ngồi lên chứ、 thật là。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Frau biến thành bò 'moah moah' cũng đáng yêu nữa。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Frau</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Nếu còn làm mấy chuyện kỳ quặc nữa、 em sẽ bỏ đi đấy。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


