// machine translate -- gemini-2.5-flash
name,
stopbgm,,,,,,,,,,,
fadeinblack,0,,,,,,,,,,
endwait,,,,,,,,,,,
sprite,download/character/100120/image/main.png,card1,0,0,1,0,,,,
endwait,,,,,,,,,,,
fadeoutblack,1.5,,,,,,,,,,
endwait,,,,,,,,,,,
playbgm,/download/sound/bgm/bgm107.mp3,0,
endwait,,,,,,,,,,,

name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>……Ha ha、 cứ vừa ăn bánh bao、 vừa đi thế này、 lại nhớ hồi tan học。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Hả？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Chị không mua bánh bao ăn vặt ở cửa hàng tiện lợi sau giờ học sao？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>À。Một mình thì AnMari không ăn vặt、 nhưng khi bạn cùng lớp rủ、 thì cũng ăn chung。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


stopbgm,0.4,,,,,,,,,,
endwait,,,,,,,,,,,
wait,0.2
endwait,,,,,,,,,,,
playbgm,/download/sound/bgm/bgm112.mp3,0,
endwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>B、 bạn cùng lớp……？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Ra là vậy、 bạn cùng lớp…… Asaka có bạn cùng ăn vặt ở cửa hàng tiện lợi sao。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Sao em lại kích động thế……— À。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Ch、 chị đang nghĩ gì vậy！ Chị không có bạn bè、 đúng không、 chị nghĩ vậy chứ！？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
