// machine translate -- gemini-2.5-flash
name,
stopbgm,,,,,,,,,,,
fadeinblack,0,,,,,,,,,,
endwait,,,,,,,,,,,
sprite,download/bg/bg_11420300.jpg,bg,0,0,2.5,0
endwait,,,,,,,,,,,
fadeoutblack,1.5,,,,,,,,,,
endwait,,,,,,,,,,,
playbgm,/download/sound/bgm/bgm096.mp3,0,
endwait,,,,,,,,,,,
anm,move,bg,-600_0,5,0
clickwait,,,,,,,,,,,
spriteoff,all,1
endwait,,,,,,,,,,,
wait,1
endwait,,,,,,,,,,,
bg,download/bg/bg_1170300.jpg,1,255
endwait


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0.5,,,,
endwait,,,,,,,,,,,
name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Anh、 tỉnh dậy rồi à？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:smile,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Ngất xỉu trong giấc mộng luôn、 anh khéo léo thật đấy nhỉ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Mà、 đó là phản ứng ngược do Tertia cưỡng ép chuyển giao quyền kiểm soát cơ thể thôi mà。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:anger,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Thật tình、 phải nhẹ nhàng hơn một chút chứ。Lỡ như có chuyện gì xảy ra với anh thì sao hả？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Mà nói đi cũng phải nói lại、 Frau cũng làm mình bất ngờ thật。Ai mà ngờ cô ấy lại nghĩ ra chuyện đó。。。thật sự là làm mình kinh ngạc。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Đến cả anh cũng hùa theo。。。Hơn hết là Tertia lại còn chấp nhận mong muốn của hai người đó nữa chứ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


