// machine translate -- gemini-2.5-flash
name,
stopbgm,,,,,,,,,,,
fadeinblack,0,,,,,,,,,,
bg,download/bg/bg_11730300.jpg,0,,,,,,,,
endwait,,,,,,,,,,,
fadeoutblack,1.5,,,,,,,,,,
endwait,,,,,,,,,,,
wait,1
endwait,,,,,,,,,,,
sprite,download/character/6055/image/605511.png,card1,0,0,2,0,,,,
anm,fade,card1,0,0,0
anm,scale,card1,1_1,1,0
anm,fade,card1,255,1,0
endwait,,,,,,,,,,,,,,
playbgm,/download/sound/bgm/bgm094.mp3,0,
endwait,,,,,,,,,,,
name,<outline width=2 color=black>Rosette Savigny</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Yoshino-sama。Em đã pha cà phê rồi、 nếu ngài muốn thì dùng một chút nhé？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Yoshino</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>À、 cảm ơn em đã cất công。Chị sắp tưới cây xong rồi、 để chị dùng sau nhé。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Cà phê Savigny pha ngon lắm đấy。Chị mong chờ lắm。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Rosette Savigny</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Ngài nói vậy thì em mừng lắm。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Yoshino</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>……Hừm。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Rosette Savigny</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Yoshino-sama？ Ngài có chuyện gì sao ạ？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Yoshino</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Không、 không có gì。Chị chợt nghĩ、 nếu là em của cái thời mới đến R'lyeh、 thì đã không đáp lại cuộc trò chuyện vừa rồi bằng những lời như vậy đâu nhỉ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Em đã có thể tự mình công nhận giá trị những việc mình làm rồi đấy。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Rosette Savigny</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Cái đó thì……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Đúng là như vậy ạ…… Nếu là Rosette của trước đây、 dù có nhận được lời khen、 chắc chắn em cũng sẽ phủ nhận、 nói rằng chẳng có gì to tát đâu。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Thế nhưng、 mọi người đều công nhận Rosette。Giờ đây、 em không muốn phủ nhận những lời đó nữa。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Tự mình công nhận bản thân…… có lẽ không hẳn là như vậy、 nhưng mà……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Yoshino</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Em không cần phải nghĩ sâu xa đến thế đâu。Dù lý do hay suy nghĩ có là gì đi chăng nữa、 việc em có thể không phủ nhận chính mình…… chị nghĩ đó là một điều tốt。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Phù phù、 đúng là một mối duyên kỳ lạ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Hồi mới gặp、 chị đã từng có cảm giác gần như ghét bỏ em、 chỉ vì em thuộc về Hội Tu Sĩ Phòng Dịch đấy。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Giờ thì、 chị chỉ muốn mắng cho cái tôi của quá khứ một trận。Chị đã không nhìn thấy con người Savigny、 mà chỉ mãi bị cuốn vào địa vị và chức danh thôi。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Rosette Savigny</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Cái đó thì cũng dễ hiểu thôi ạ。Nghĩ đến xuất thân của Yoshino-sama、 việc ngài có những cảm xúc mạnh mẽ với Hội Tu Sĩ Phòng Dịch cũng là điều đương nhiên mà。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Yoshino</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Nhưng người thiêu rụi quê hương chị không phải là em。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Rosette Savigny</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Dù vậy…… chỉ là thời điểm và hoàn cảnh khác nhau thôi、 chứ Rosette cũng là người đã từng thực hiện những hành động như vậy、 điều đó không thay đổi được。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Rosette cũng từng nghĩ rằng、 việc thanh tẩy được thực hiện dưới uy quyền của Chúa、 dù có phải đánh đổi bằng bao nhiêu sinh mạng đi chăng nữa、 cũng là điều phải làm。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>……Giờ thì、 em cảm thấy không nên giao phó trách nhiệm gánh vác sinh mạng con người cho bất kỳ ai khác ngoài bản thân mình nữa。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Yoshino</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Em nói những lời như vậy có ổn không？ Ở Hội Tu Sĩ Phòng Dịch、 việc đặt ra nghi vấn như thế có khi lại bị coi là dị giáo đấy？</outline>,,,,,,,,,
